Context	Key	Translation
	PMX Export Helper	PMXエクスポートヘルパー
	
O	Export PMX	PMXモデルをエクスポート
O	Import PMX/PMD	PMX/PMDモデルをインポート
O	Import VMD	VMDモーションをインポート
O	Export VMD	VMDモーションをエクスポート

	Additional PMX bone definitions file	追加のPMXボーン定義ファイル
	Additional PMX bone definitions file:	追加のPMXボーン定義ファイル：
	Please save addon preferenses to keep this!	この設定を維持するにはアドオンプリファレンスを保存してください
	Bone Naming Helper	ボーン名設定ヘルパー
	Bone naming by definitions	ボーン定義による名前設定
	Select any armature	アーマチュアを選択してください
	Material Settings	材質設定
O	Apply Bone Definitions	ボーン定義を適用
O	Clear mmd_bone.name	mmd_bone.nameをクリア
O	Clear MMD Material Names	MMD材質名をクリア
	Set mmd_bone.name_j and name_e by using mapped definition data	PMXボーン定義の割り当てに基づいて mmd_bone.name_j および mmd_bone.name_e を設定します
	For all bones	全てのボーン
	Clear mmd_bone.name_j and name_e on selected bones	選択ボーンの mmd_bone.name_j および mmd_bone.name_e をクリアします
	MMD Bone Definition	MMDボーン定義
	Define bone name in MMD	MMDでのボーン名を設定します
	"Additive Suffix on mmd_bone name. e.g: ""D"""	MMDボーン名の末尾に指定の文字列を追加します
	Show Suffix	接尾辞を表示
	Show suffix option: typically used for adding D or something	接尾辞設定を表示。ボーン名末尾に「D」をつける等の目的で使用
	Show mmd_bone.name	mmd_bone.nameを表示
	Show mmd_bone.name_j and mmd_bone.name_e in the list	mmd_bone.name_j と mmd_bone.name_e を表示します
	Use English	英語で表示
	Use english bone name for display	MMDボーン名の表示に英語を使用します
	Display Max	最大表示数
	Maximum number of items shown on the list	リストに表示するボーンの最大数
	Undefined Bones	未設定のボーン
	Alert essentials only	必須ボーンのみ警告
	Define Additional PMX Bones	追加のPMXボーン定義
	Material Settings Helper	マテリアル設定ヘルパー
	Bone Category	ボーンの種類
	Root bones. eg: master / center / groove...	ルート。例：全ての親、センター、グルーブなど
	Torso bones. eg: hips / upper_body / upper_body2...	体幹。例：下半身、上半身、上半身2など
	Facial bones. eg: eye / eyebrow / mouth...	顔。例：目、眉、口など
	Arm bones. eg: arm / forearm / hand...	腕。例：肩、腕、ひじ、手首など
	Finger bones. eg: thumb / index / middle...	指。例：親指、人指、中指など
	Leg bones. eg: leg / knee / ankle...	足。例：足、ひざ、足首など
	IK bones. eg: ankle_ik / wrist_ik...	ＩＫ。例：足ＩＫ、手ＩＫなど
	Physics bones. eg: breast / hair_xx...	物理。例：胸、髪、その他
	Etc bones. For any purpose you need	その他。あなたの必要に応じて用途を決めてください
	Torso	体幹
	Facial	顔
	Upper Limbs	上肢
	Lower Limbs	下肢
	Fingers	指
	Name Ja	日本語名
	PMX bone name(Japanese)	PMXでのボーン名（日本語）
	Name En	英語名
	PMX bone name(English)	PMXでのボーン名（英語）
	Essential	必須
